gpu_name,year,shader_cores,memory_bandwidth,boost_clock,tdp,transistors,process_nm,die_size,compute_index,memory_pressure_ratio,perf_per_watt,transistor_density,log_transistors,expected_log_transistors,moore_deviation
graphics xpression isa,2024.0,480.0,320.0,1250.0,50.0,1.0,600.0,90.0,600000.0,1869.1588785046729,11764.70588235294,0.01098901098901099,0.6931471805599453,3.3314383390085567,-0.07630918228861328
video xpression,2024.0,480.0,528.0,1250.0,50.0,1.0,600.0,90.0,600000.0,1134.2155009451797,11764.70588235294,0.01098901098901099,0.6931471805599453,3.3314383390085567,-0.07630918228861328
winboost,2024.0,480.0,320.0,1250.0,50.0,1.0,600.0,90.0,600000.0,1869.1588785046729,11764.70588235294,0.01098901098901099,0.6931471805599453,3.3314383390085567,-0.07630918228861328
wincharger,2024.0,480.0,320.0,1250.0,50.0,1.0,600.0,90.0,600000.0,1869.1588785046729,11764.70588235294,0.01098901098901099,0.6931471805599453,3.3314383390085567,-0.07630918228861328
winturbo,2024.0,480.0,320.0,1250.0,50.0,1.0,600.0,90.0,600000.0,1869.1588785046729,11764.70588235294,0.01098901098901099,0.6931471805599453,3.3314383390085567,-0.07630918228861328
nv1,2024.0,480.0,480.0,1250.0,2.0,1.0,500.0,135.0,600000.0,1247.4012474012475,200000.0,0.007352941176470588,0.6931471805599453,3.3314383390085567,-0.07630918228861328
stg 2000,2024.0,480.0,400.0,1250.0,2.0,1.0,500.0,135.0,600000.0,1496.2593516209477,200000.0,0.007352941176470588,0.6931471805599453,3.3314383390085567,-0.07630918228861328
voodoo graphics 4 mb,2024.0,480.0,800.0,1250.0,15.0,1.0,500.0,135.0,600000.0,749.0636704119851,37500.0,0.007352941176470588,0.6931471805599453,3.3314383390085567,-0.07630918228861328
3d rage,2024.0,480.0,528.0,1250.0,50.0,5.0,500.0,90.0,600000.0,1134.2155009451797,11764.70588235294,0.054945054945054944,1.791759469228055,3.3314383390085567,-0.07630918228861328
3d rage ii,2024.0,480.0,664.0,1250.0,50.0,5.0,500.0,86.0,600000.0,902.2556390977444,11764.70588235294,0.05747126436781609,1.791759469228055,3.3314383390085567,-0.07630918228861328
3d rage ii dvd,2024.0,480.0,664.0,1250.0,50.0,5.0,500.0,86.0,600000.0,902.2556390977444,11764.70588235294,0.05747126436781609,1.791759469228055,3.3314383390085567,-0.07630918228861328
all in wonder 3d rage ii dvd,2024.0,480.0,664.0,1250.0,50.0,5.0,500.0,86.0,600000.0,902.2556390977444,11764.70588235294,0.05747126436781609,1.791759469228055,3.3314383390085567,-0.07630918228861328
